"3.3", "added", "concurrent.futures.process.BrokenProcessPool"
"3.3", "added", "concurrent.futures.process.BrokenProcessPool"
"3.3", "added", "contextlib.ExitStack"
"3.3", "added", "crypt.METHOD_CRYPT"
"3.3", "added", "crypt.METHOD_MD5"
"3.3", "added", "crypt.METHOD_SHA256"
"3.3", "added", "crypt.METHOD_SHA512"
"3.3", "added", "crypt.methods"
"3.3", "added", "crypt.mksalt"
"3.3", "added", "curses.unget_wch"
"3.3", "added", "faulthandler"
"3.3", "added", "gc.callbacks"
"3.3", "added", "hmac.compare_digest"
"3.3", "added", "html.entities.html5"
"3.3", "added", "html.entities.html5"
"3.3", "added", "importlib.abc.FileLoader"
"3.3", "added", "importlib.abc.MetaPathFinder"
"3.3", "added", "importlib.abc.PathEntryFinder"
"3.3", "added", "importlib.find_loader"
"3.3", "added", "importlib.invalidate_caches"
"3.3", "added", "importlib.machinery.BYTECODE_SUFFIXES"
"3.3", "added", "importlib.machinery.DEBUG_BYTECODE_SUFFIXES"
"3.3", "added", "importlib.machinery.EXTENSION_SUFFIXES"
"3.3", "added", "importlib.machinery.ExtensionFileLoader"
"3.3", "added", "importlib.machinery.FileFinder"
"3.3", "added", "importlib.machinery.OPTIMIZED_BYTECODE_SUFFIXES"
"3.3", "added", "importlib.machinery.SOURCE_SUFFIXES"
"3.3", "added", "importlib.machinery.SourceFileLoader"
"3.3", "added", "importlib.machinery.SourcelessFileLoader"
"3.3", "added", "importlib.machinery.WindowsRegistryFinder"
"3.3", "added", "importlib.machinery.all_suffixes"
"3.3", "added", "importlib.util.resolve_name"
"3.3", "added", "inspect.BoundArguments"
"3.3", "added", "inspect.Parameter"
"3.3", "added", "inspect.Signature"
"3.3", "added", "inspect.getclosurevars"
"3.3", "added", "inspect.getgeneratorlocals"
"3.3", "added", "inspect.signature"
"3.3", "added", "ipaddress"
"3.3", "added", "lzma"
"3.3", "added", "math.log2"
"3.3", "added", "multiprocessing.Barrier"
"3.3", "added", "multiprocessing.connection.wait"
"3.3", "added", "os.CLD_CONTINUED"
"3.3", "added", "os.CLD_DUMPED"
"3.3", "added", "os.CLD_EXITED"
"3.3", "added", "os.CLD_TRAPPED"
"3.3", "added", "os.F_LOCK"
"3.3", "added", "os.F_TEST"
"3.3", "added", "os.F_TLOCK"
"3.3", "added", "os.F_ULOCK"
"3.3", "added", "os.O_CLOEXEC"
"3.3", "added", "os.POSIX_FADV_DONTNEED"
"3.3", "added", "os.POSIX_FADV_NOREUSE"
"3.3", "added", "os.POSIX_FADV_NORMAL"
"3.3", "added", "os.POSIX_FADV_RANDOM"
"3.3", "added", "os.POSIX_FADV_SEQUENTIAL"
"3.3", "added", "os.POSIX_FADV_WILLNEED"
"3.3", "added", "os.PRIO_PGRP"
"3.3", "added", "os.PRIO_PROCESS"
"3.3", "added", "os.PRIO_USER"
"3.3", "added", "os.P_ALL"
"3.3", "added", "os.P_PGID"
"3.3", "added", "os.P_PID"
"3.3", "added", "os.RTLD_DEEPBIND"
"3.3", "added", "os.RTLD_GLOBAL"
"3.3", "added", "os.RTLD_LAZY"
"3.3", "added", "os.RTLD_LOCAL"
"3.3", "added", "os.RTLD_NODELETE"
"3.3", "added", "os.RTLD_NOLOAD"
"3.3", "added", "os.RTLD_NOW"
"3.3", "added", "os.SCHED_BATCH"
"3.3", "added", "os.SCHED_FIFO"
"3.3", "added", "os.SCHED_IDLE"
"3.3", "added", "os.SCHED_OTHER"
"3.3", "added", "os.SCHED_RESET_ON_FORK"
"3.3", "added", "os.SCHED_RR"
"3.3", "added", "os.SCHED_SPORADIC"
"3.3", "added", "os.SEEK_DATA"
"3.3", "added", "os.SEEK_HOLE"
"3.3", "added", "os.SF_MNOWAIT"
"3.3", "added", "os.SF_NODISKIO"
"3.3", "added", "os.SF_SYNC"
"3.3", "added", "os.WEXITED"
"3.3", "added", "os.WSTOPPED"
"3.3", "added", "os.XATTR_CREATE"
"3.3", "added", "os.XATTR_REPLACE"
"3.3", "added", "os.XATTR_SIZE_MAX"
"3.3", "added", "os.fwalk"
"3.3", "added", "os.get_terminal_size"
"3.3", "added", "os.getgrouplist"
"3.3", "added", "os.getpriority"
"3.3", "added", "os.getxattr"
"3.3", "added", "os.listxattr"
"3.3", "added", "os.lockf"
"3.3", "added", "os.pipe2"
"3.3", "added", "os.posix_fadvise"
"3.3", "added", "os.posix_fallocate"
"3.3", "added", "os.pread"
"3.3", "added", "os.pwrite"
"3.3", "added", "os.readv"
"3.3", "added", "os.removexattr"
"3.3", "added", "os.replace"
"3.3", "added", "os.rmdir"
"3.3", "added", "os.sched_get_priority_max"
"3.3", "added", "os.sched_get_priority_min"
"3.3", "added", "os.sched_getaffinity"
"3.3", "added", "os.sched_getparam"
"3.3", "added", "os.sched_getscheduler"
"3.3", "added", "os.sched_param"
"3.3", "added", "os.sched_rr_get_interval"
"3.3", "added", "os.sched_setaffinity"
"3.3", "added", "os.sched_setparam"
"3.3", "added", "os.sched_setscheduler"
"3.3", "added", "os.sched_yield"
"3.3", "added", "os.sendfile"
"3.3", "added", "os.setpriority"
"3.3", "added", "os.setxattr"
"3.3", "added", "os.supports_dir_fd"
"3.3", "added", "os.supports_effective_ids"
"3.3", "added", "os.supports_fd"
"3.3", "added", "os.supports_follow_symlinks"
"3.3", "added", "os.sync"
"3.3", "added", "os.terminal_size"
"3.3", "added", "os.truncate"
"3.3", "added", "os.unlink"
"3.3", "added", "os.waitid"
"3.3", "added", "os.writev"
"3.3", "added", "select.devpoll"
"3.3", "added", "shlex.quote"
"3.3", "added", "shutil.chown"
"3.3", "added", "shutil.disk_usage"
"3.3", "added", "shutil.get_terminal_size"
"3.3", "added", "shutil.rmtree.avoids_symlink_attacks"
"3.3", "added", "shutil.which"
"3.3", "added", "signal.SIG_BLOCK"
"3.3", "added", "signal.SIG_SETMASK"
"3.3", "added", "signal.SIG_UNBLOCK"
"3.3", "added", "signal.pthread_kill"
"3.3", "added", "signal.pthread_sigmask"
"3.3", "added", "signal.sigpending"
"3.3", "added", "signal.sigtimedwait"
"3.3", "added", "signal.sigwait"
"3.3", "added", "signal.sigwaitinfo"
"3.3", "added", "socket.AF_RDS"
"3.3", "added", "socket.CMSG_LEN"
"3.3", "added", "socket.CMSG_SPACE"
"3.3", "added", "socket.fromshare"
"3.3", "added", "socket.if_indextoname"
"3.3", "added", "socket.if_nameindex"
"3.3", "added", "socket.if_nametoindex"
"3.3", "added", "socket.sethostname"
"3.3", "added", "ssl.CHANNEL_BINDING_TYPES"
"3.3", "added", "ssl.HAS_ECDH"
"3.3", "added", "ssl.HAS_NPN"
"3.3", "added", "ssl.OP_CIPHER_SERVER_PREFERENCE"
"3.3", "added", "ssl.OP_NO_COMPRESSION"
"3.3", "added", "ssl.OP_SINGLE_DH_USE"
"3.3", "added", "ssl.OP_SINGLE_ECDH_USE"
"3.3", "added", "ssl.RAND_bytes"
"3.3", "added", "ssl.RAND_pseudo_bytes"
"3.3", "added", "ssl.SSLEOFError"
"3.3", "added", "ssl.SSLSyscallError"
"3.3", "added", "ssl.SSLWantReadError"
"3.3", "added", "ssl.SSLWantWriteError"
"3.3", "added", "ssl.SSLZeroReturnError"
"3.3", "added", "stat.filemode"
"3.3", "added", "subprocess.DEVNULL"
"3.3", "added", "subprocess.SubprocessError"
"3.3", "added", "subprocess.TimeoutExpired"
"3.3", "added", "sys._debugmallocstats"
"3.3", "added", "sys.base_exec_prefix"
"3.3", "added", "sys.base_prefix"
"3.3", "added", "sys.implementation"
"3.3", "added", "sys.thread_info"
"3.3", "added", "textwrap.indent"
"3.3", "added", "threading.get_ident"
"3.3", "added", "time.CLOCK_HIGHRES"
"3.3", "added", "time.CLOCK_MONOTONIC"
"3.3", "added", "time.CLOCK_MONOTONIC_RAW"
"3.3", "added", "time.CLOCK_PROCESS_CPUTIME_ID"
"3.3", "added", "time.CLOCK_REALTIME"
"3.3", "added", "time.CLOCK_THREAD_CPUTIME_ID"
"3.3", "added", "time.clock_getres"
"3.3", "added", "time.clock_gettime"
"3.3", "added", "time.clock_settime"
"3.3", "added", "time.get_clock_info"
"3.3", "added", "time.monotonic"
"3.3", "added", "time.perf_counter"
"3.3", "added", "time.process_time"
"3.3", "added", "types.MappingProxyType"
"3.3", "added", "types.SimpleNamespace"
"3.3", "added", "types.new_class"
"3.3", "added", "types.prepare_class"
"3.3", "added", "unittest.mock"
"3.3", "added", "venv"
"3.3", "added", "xml.etree.ElementTree.canonicalize"
"3.3", "added", "zipfile.ZIP_BZIP2"
"3.3", "added", "zipfile.ZIP_LZMA"
"3.3", "added", "zlib.ZLIB_RUNTIME_VERSION"
"3.3", "deprecated", "abc.abstractclassmethod"
"3.3", "deprecated", "abc.abstractproperty"
"3.3", "deprecated", "abc.abstractstaticmethod"
"3.3", "deprecated", "importlib.abc.Finder"
"3.3", "deprecated", "pkgutil.ImpImporter"
"3.3", "deprecated", "pkgutil.ImpLoader"
"3.4", "added", "abc.ABC"
"3.4", "added", "abc.get_cache_token"
"3.4", "added", "asyncio"
"3.4", "added", "audioop.byteswap"
"3.4", "added", "base64.a85decode"
"3.4", "added", "base64.a85encode"
"3.4", "added", "base64.b85decode"
"3.4", "added", "base64.b85encode"
"3.4", "added", "contextlib.redirect_stdout"
"3.4", "added", "contextlib.suppress"
"3.4", "added", "dis.Bytecode"
"3.4", "added", "dis.Instruction"
"3.4", "added", "dis.get_instructions"
"3.4", "added", "dis.stack_effect"
"3.4", "added", "doctest.FAIL_FAST"
"3.4", "added", "email.as_bytes"
"3.4", "added", "ensurepip"
"3.4", "added", "enum"
"3.4", "added", "filecmp.DEFAULT_IGNORES"
"3.4", "added", "filecmp.clear_cache"
"3.4", "added", "functools.partialmethod"
"3.4", "added", "functools.singledispatch"
"3.4", "added", "gc.get_stats"
"3.4", "added", "glob.escape"
"3.4", "added", "hashlib.pbkdf2_hmac"
"3.4", "added", "html.unescape"
"3.4", "added", "importlib.machinery.ModuleSpec"
"3.4", "added", "importlib.reload"
"3.4", "added", "importlib.util.MAGIC_NUMBER"
"3.4", "added", "importlib.util.cache_from_source"
"3.4", "added", "importlib.util.decode_source"
"3.4", "added", "importlib.util.find_spec"
"3.4", "added", "importlib.util.source_from_cache"
"3.4", "added", "importlib.util.spec_from_file_location"
"3.4", "added", "importlib.util.spec_from_loader"
"3.4", "added", "inspect.unwrap"
"3.4", "added", "multiprocessing.get_all_start_methods"
"3.4", "added", "multiprocessing.get_context"
"3.4", "added", "multiprocessing.get_start_method"
"3.4", "added", "multiprocessing.set_start_method"
"3.4", "added", "operator.length_hint"
"3.4", "added", "os.cpu_count"
"3.4", "added", "os.get_handle_inheritable"
"3.4", "added", "os.get_inheritable"
"3.4", "added", "os.set_handle_inheritable"
"3.4", "added", "os.set_inheritable"
"3.4", "added", "pathlib"
"3.4", "added", "plistlib.FMT_BINARY"
"3.4", "added", "plistlib.FMT_XML"
"3.4", "added", "plistlib.dump"
"3.4", "added", "plistlib.dumps"
"3.4", "added", "plistlib.load"
"3.4", "added", "plistlib.loads"
"3.4", "added", "re.fullmatch"
"3.4", "added", "resource.RLIMIT_MSGQUEUE"
"3.4", "added", "resource.RLIMIT_NICE"
"3.4", "added", "resource.RLIMIT_NPTS"
"3.4", "added", "resource.RLIMIT_RTPRIO"
"3.4", "added", "resource.RLIMIT_RTTIME"
"3.4", "added", "resource.RLIMIT_SBSIZE"
"3.4", "added", "resource.RLIMIT_SIGPENDING"
"3.4", "added", "resource.RLIMIT_SWAP"
"3.4", "added", "resource.prlimit"
"3.4", "added", "selectors"
"3.4", "added", "shutil.SameFileError"
"3.4", "added", "socket.AF_LINK"
"3.4", "added", "socket.CAN_BCM"
"3.4", "added", "socket.CAN_BCM_RX_CHANGED"
"3.4", "added", "socket.CAN_BCM_RX_DELETE"
"3.4", "added", "socket.CAN_BCM_RX_READ"
"3.4", "added", "socket.CAN_BCM_RX_SETUP"
"3.4", "added", "socket.CAN_BCM_RX_STATUS"
"3.4", "added", "socket.CAN_BCM_RX_TIMEOUT"
"3.4", "added", "socket.CAN_BCM_TX_DELETE"
"3.4", "added", "socket.CAN_BCM_TX_EXPIRED"
"3.4", "added", "socket.CAN_BCM_TX_READ"
"3.4", "added", "socket.CAN_BCM_TX_SEND"
"3.4", "added", "socket.CAN_BCM_TX_SETUP"
"3.4", "added", "socket.CAN_BCM_TX_STATUS"
"3.4", "added", "ssl.ALERT_DESCRIPTION_ACCESS_DENIED"
"3.4", "added", "ssl.ALERT_DESCRIPTION_BAD_CERTIFICATE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_BAD_CERTIFICATE_HASH_VALUE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_BAD_CERTIFICATE_STATUS_RESPONSE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_BAD_RECORD_MAC"
"3.4", "added", "ssl.ALERT_DESCRIPTION_CERTIFICATE_EXPIRED"
"3.4", "added", "ssl.ALERT_DESCRIPTION_CERTIFICATE_REVOKED"
"3.4", "added", "ssl.ALERT_DESCRIPTION_CERTIFICATE_UNKNOWN"
"3.4", "added", "ssl.ALERT_DESCRIPTION_CERTIFICATE_UNOBTAINABLE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_CLOSE_NOTIFY"
"3.4", "added", "ssl.ALERT_DESCRIPTION_DECODE_ERROR"
"3.4", "added", "ssl.ALERT_DESCRIPTION_DECOMPRESSION_FAILURE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_DECRYPT_ERROR"
"3.4", "added", "ssl.ALERT_DESCRIPTION_HANDSHAKE_FAILURE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_ILLEGAL_PARAMETER"
"3.4", "added", "ssl.ALERT_DESCRIPTION_INSUFFICIENT_SECURITY"
"3.4", "added", "ssl.ALERT_DESCRIPTION_INTERNAL_ERROR"
"3.4", "added", "ssl.ALERT_DESCRIPTION_NO_RENEGOTIATION"
"3.4", "added", "ssl.ALERT_DESCRIPTION_PROTOCOL_VERSION"
"3.4", "added", "ssl.ALERT_DESCRIPTION_RECORD_OVERFLOW"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNEXPECTED_MESSAGE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNKNOWN_CA"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNKNOWN_PSK_IDENTITY"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNRECOGNIZED_NAME"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNSUPPORTED_CERTIFICATE"
"3.4", "added", "ssl.ALERT_DESCRIPTION_UNSUPPORTED_EXTENSION"
"3.4", "added", "ssl.ALERT_DESCRIPTION_USER_CANCELLED"
"3.4", "added", "ssl.OP_NO_TLSv1_1"
"3.4", "added", "ssl.OP_NO_TLSv1_2"
"3.4", "added", "ssl.PROTOCOL_TLSv1_1"
"3.4", "added", "ssl.PROTOCOL_TLSv1_2"
"3.4", "added", "ssl.Purpose.CLIENT_AUTH"
"3.4", "added", "ssl.Purpose.SERVER_AUTH"
"3.4", "added", "ssl.VERIFY_CRL_CHECK_CHAIN"
"3.4", "added", "ssl.VERIFY_CRL_CHECK_LEAF"
"3.4", "added", "ssl.VERIFY_DEFAULT"
"3.4", "added", "ssl.VERIFY_X509_STRICT"
"3.4", "added", "ssl.create_default_context"
"3.4", "added", "ssl.enum_certificates"
"3.4", "added", "ssl.enum_crls"
"3.4", "added", "ssl.get_default_verify_paths"
"3.4", "added", "stat.S_IFDOOR"
"3.4", "added", "stat.S_IFPORT"
"3.4", "added", "stat.S_IFWHT"
"3.4", "added", "stat.S_ISDOOR"
"3.4", "added", "stat.S_ISPORT"
"3.4", "added", "stat.S_ISWHT"
"3.4", "added", "statistics"
"3.4", "added", "struct.iter_unpack"
"3.4", "added", "sys.__interactivehook__"
"3.4", "added", "sys.getallocatedblocks"
"3.4", "added", "textwrap.shorten"
"3.4", "added", "threading.main_thread"
"3.4", "added", "traceback.clear_frames"
"3.4", "added", "tracemalloc"
"3.4", "added", "types.DynamicClassAttribute"
"3.4", "added", "urllib.request.DataHandler"
"3.4", "added", "weakref.WeakMethod"
"3.4", "added", "weakref.finalize"
"3.4", "added", "xml.etree.ElementTree.XMLPullParser"
"3.4", "deprecated", "imp"
